date,time,cum_ticks,open,high,low,close,cum_dollar_value,cum_buy_volume,cum_volume
2023-09-01,00:00:00.147,30,1645.77,1645.95,1645.76,1645.95,103425.72858200001,62.839499999999994,62.839499999999994
2023-09-01,00:00:16.142,151,1645.96,1645.99,1645.23,1645.24,105296.70911300002,126.82860000000005,126.82860000000005
2023-09-01,00:00:16.147,178,1645.24,1645.54,1645.24,1645.54,100043.50415199998,187.63340000000002,187.63340000000002
2023-09-01,00:00:16.251,212,1645.55,1645.94,1645.55,1645.94,100666.72215200003,248.7979,248.7979
2023-09-01,00:00:17.482,271,1645.97,1646.24,1645.97,1646.24,101428.28649500004,310.4142,310.4142
2023-09-01,00:00:17.832,323,1646.24,1646.74,1646.24,1646.74,107101.88820499998,375.4576,375.4576
2023-09-01,00:01:00.011,497,1646.74,1647.06,1645.85,1645.86,100006.12287600001,436.1881999999993,436.1881999999993
2023-09-01,00:02:01.535,647,1645.86,1646.17,1645.47,1645.98,103864.68116499999,499.2948999999991,499.2948999999991
2023-09-01,00:02:37.936,784,1645.98,1647.19,1645.98,1647.19,107128.30557400003,564.3516999999988,564.3516999999988
2023-09-01,00:02:55.710,851,1647.19,1647.48,1647.19,1647.48,104253.58688,627.6373999999987,627.6373999999987
2023-09-01,00:03:27.620,963,1647.48,1647.76,1647.48,1647.6,101137.48388800005,689.0229999999991,689.0229999999991
2023-09-01,00:04:57.252,1151,1647.59,1648.04,1647.02,1648.04,101371.932351,750.5518999999994,750.5518999999994
2023-09-01,00:06:49.716,1389,1648.04,1648.28,1647.83,1647.83,100775.77449499999,811.6967000000002,811.6967000000002
2023-09-01,00:07:50.271,1518,1647.83,1648.05,1647.83,1648.05,100774.945322,872.8499000000004,872.8499000000004
2023-09-01,00:09:51.040,1724,1648.05,1648.36,1648.05,1648.33,101505.962247,934.4345999999999,934.4345999999999
2023-09-01,00:11:09.942,1906,1648.33,1648.43,1648.24,1648.43,100334.20722400003,995.303,995.303
2023-09-01,00:12:00.008,2005,1648.43,1648.5,1648.42,1648.5,100229.11014200005,1056.1050999999998,1056.1050999999998
2023-09-01,00:12:39.791,2066,1648.49,1648.66,1648.49,1648.66,100842.91321699994,1117.2766,1117.2766
2023-09-01,00:13:51.485,2220,1648.67,1649.32,1648.67,1649.31,103734.146768,1180.1823000000009,1180.1823000000009
2023-09-01,00:14:58.201,2383,1649.31,1649.31,1649.0,1649.01,100430.99271199998,1241.0801,1241.0801
2023-09-01,00:14:59.675,2439,1649.02,1649.59,1649.02,1649.59,102398.74109199998,1303.1642000000004,1303.1642000000004
2023-09-01,00:15:01.026,2501,1649.6,1649.9,1649.6,1649.88,108782.06362200002,1369.0984000000005,1369.0984000000005
2023-09-01,00:15:05.349,2555,1649.88,1650.2,1649.88,1650.14,110123.12162200002,1435.8390000000006,1435.8390000000006
2023-09-01,00:15:05.811,2586,1650.14,1650.14,1649.66,1649.66,112331.213793,1503.9264000000005,1503.9264000000005
2023-09-01,00:15:44.801,2660,1649.64,1649.84,1649.44,1649.84,101865.01994599994,1565.6772000000008,1565.6772000000008
2023-09-01,00:16:34.562,2760,1649.84,1649.84,1649.71,1649.72,104677.16294399997,1629.1282999999996,1629.1282999999996
2023-09-01,00:16:34.566,2799,1649.72,1649.89,1649.72,1649.89,101765.70392100001,1690.8132000000003,1690.8132000000003
2023-09-01,00:17:04.459,2934,1649.89,1650.5,1649.89,1650.5,118520.58056800003,1762.6355999999992,1762.6355999999992
2023-09-01,00:17:05.034,3007,1650.53,1650.99,1650.53,1650.99,101865.30965199998,1824.3363999999997,1824.3363999999997
2023-09-01,00:17:05.037,3081,1651.0,1651.44,1651.0,1651.44,105431.09032300004,1888.1851999999997,1888.1851999999997
2023-09-01,00:17:05.040,3112,1651.46,1651.6,1651.29,1651.29,108407.089564,1953.8263000000004,1953.8263000000004
2023-09-01,00:17:05.545,3145,1651.6,1651.68,1651.6,1651.61,100448.95298899998,2014.6444000000008,2014.6444000000008
2023-09-01,00:17:10.310,3185,1651.6,1651.6,1651.3,1651.3,101117.03420300003,2075.8733999999995,2075.8733999999995
2023-09-01,00:17:16.534,3217,1651.3,1651.3,1651.0,1651.0,112945.556385,2144.281800000001,2144.281800000001
2023-09-01,00:17:16.541,3219,1651.0,1651.0,1651.0,1651.0,168293.03399999999,2246.2158000000013,2246.2158000000013
2023-09-01,00:17:16.544,3223,1651.0,1651.0,1651.0,1651.0,119020.0947,2318.3055000000013,2318.3055000000013
2023-09-01,00:17:30.080,3285,1651.0,1651.0,1650.51,1650.51,102954.317724,2380.6799000000037,2380.6799000000037
2023-09-01,00:18:03.990,3439,1650.51,1651.22,1650.51,1651.15,100620.97938300007,2441.6246000000106,2441.6246000000106
2023-09-01,00:18:07.573,3507,1651.15,1651.52,1651.15,1651.51,101591.20770400003,2503.1456000000117,2503.1456000000117
2023-09-01,00:18:13.975,3554,1651.47,1651.47,1651.0,1651.0,107389.26524800001,2568.185000000014,2568.185000000014
2023-09-01,00:18:39.810,3650,1651.0,1651.0,1650.51,1650.83,104651.58973500002,2631.578500000019,2631.578500000019
2023-09-01,00:18:40.454,3675,1650.83,1650.96,1650.83,1650.94,108032.16343299997,2697.01650000002,2697.01650000002
2023-09-01,00:18:58.835,3727,1650.94,1650.94,1650.61,1650.94,101995.298032,2758.801300000021,2758.801300000021
2023-09-01,00:20:01.287,3904,1650.94,1651.26,1650.92,1651.26,127169.56962799998,2835.822600000019,2835.822600000019
2023-09-01,00:20:15.561,4058,1651.26,1652.03,1651.26,1652.03,100229.48757600004,2896.507600000022,2896.507600000022
2023-09-01,00:20:22.646,4181,1652.02,1652.28,1652.01,1652.27,100626.23269500004,2957.4159000000227,2957.4159000000227
2023-09-01,00:20:24.441,4244,1652.27,1652.57,1652.27,1652.57,103003.268609,3019.753700000023,3019.753700000023
2023-09-01,00:20:33.802,4338,1652.56,1652.79,1652.31,1652.31,102976.03182499997,3082.0700000000247,3082.0700000000247
2023-09-01,00:21:14.849,4463,1652.31,1652.31,1652.03,1652.04,100730.93292699999,3143.039500000029,3143.039500000029
2023-09-01,00:22:41.290,4680,1652.04,1652.04,1650.26,1650.26,101008.88303900002,3204.2038000000343,3204.2038000000343
2023-09-01,00:23:00.082,4744,1650.26,1650.26,1650.2,1650.25,114123.25389299997,3273.3602000000346,3273.3602000000346
2023-09-01,00:23:11.236,4798,1650.25,1650.77,1650.25,1650.77,100151.31137599998,3334.0395000000362,3334.0395000000362
2023-09-01,00:24:19.782,4956,1650.77,1650.89,1650.35,1650.38,100136.62023399999,3394.703700000036,3394.703700000036
2023-09-01,00:24:40.104,5011,1650.47,1650.77,1650.47,1650.77,100739.82054800002,3455.7356000000364,3455.7356000000364
2023-09-01,00:24:46.993,5074,1650.77,1651.23,1650.77,1651.22,112205.26167500002,3523.692700000035,3523.692700000035
2023-09-01,00:25:11.126,5178,1651.22,1651.22,1650.71,1650.72,100803.734635,3584.7488000000367,3584.7488000000367
2023-09-01,00:26:59.980,5395,1650.72,1651.08,1650.5,1651.07,100098.10170099999,3645.38700000004,3645.38700000004
2023-09-01,00:27:49.971,5494,1651.07,1651.93,1651.07,1651.92,100079.34565599999,3705.987800000043,3705.987800000043
2023-09-01,00:28:00.759,5580,1651.93,1652.43,1651.93,1652.42,105349.943033,3769.747800000047,3769.747800000047
2023-09-01,00:28:59.296,5670,1652.4,1652.4,1651.68,1651.68,100591.91631100001,3830.637200000049,3830.637200000049
2023-09-01,00:31:19.037,5919,1651.68,1651.94,1651.58,1651.77,101516.31063299993,3892.0956000000547,3892.0956000000547
2023-09-01,00:32:11.127,6031,1651.76,1651.77,1651.62,1651.72,101654.36511400001,3953.6403000000582,3953.6403000000582
2023-09-01,00:32:23.474,6094,1651.72,1652.39,1651.72,1652.39,101955.57305199996,4015.3538000000626,4015.3538000000626
2023-09-01,00:33:50.552,6229,1652.39,1652.52,1652.32,1652.52,107718.16811700002,4080.540200000064,4080.540200000064
2023-09-01,00:34:27.965,6395,1652.54,1652.97,1652.51,1652.51,100101.510281,4141.106300000061,4141.106300000061
2023-09-01,00:35:52.093,6597,1652.51,1652.52,1651.68,1651.69,101038.99365600012,4202.261100000062,4202.261100000062
2023-09-01,00:36:59.301,6728,1651.69,1651.69,1651.3,1651.3,101437.87643000002,4263.681900000059,4263.681900000059
2023-09-01,00:37:51.137,6863,1651.29,1651.57,1651.0,1651.57,111053.41740399998,4330.935900000056,4330.935900000056
2023-09-01,00:39:01.140,7017,1651.57,1651.63,1651.25,1651.26,102935.65940700001,4393.265300000057,4393.265300000057
2023-09-01,00:39:12.522,7061,1651.26,1651.35,1651.26,1651.35,100424.64357400002,4454.079400000056,4454.079400000056
2023-09-01,00:40:03.315,7179,1651.35,1651.79,1651.34,1651.79,102091.80910799997,4515.8980000000565,4515.8980000000565
2023-09-01,00:40:25.820,7217,1651.79,1651.92,1651.79,1651.92,100340.21700300001,4576.643700000054,4576.643700000054
2023-09-01,00:41:03.961,7351,1651.92,1652.2,1651.91,1651.97,113249.76955299995,4645.193500000057,4645.193500000057
2023-09-01,00:41:22.338,7429,1651.97,1652.48,1651.97,1652.48,100354.26324499998,4705.930300000055,4705.930300000055
2023-09-01,00:41:42.921,7514,1652.48,1653.01,1652.47,1653.01,100738.06069700001,4766.88540000005,4766.88540000005
2023-09-01,00:41:43.985,7670,1653.0,1653.53,1653.0,1653.5,103310.36289599999,4829.371500000049,4829.371500000049
2023-09-01,00:41:45.047,7691,1653.49,1653.49,1653.41,1653.42,105001.756243,4892.875500000051,4892.875500000051
2023-09-01,00:41:53.131,7730,1653.42,1653.48,1653.34,1653.34,108021.73097299998,4958.2098000000515,4958.2098000000515
2023-09-01,00:42:09.327,7841,1653.34,1653.34,1653.06,1653.09,103358.343401,5020.731400000052,5020.731400000052
2023-09-01,00:42:57.028,7927,1653.09,1653.09,1652.88,1652.9,127432.710888,5097.8263000000525,5097.8263000000525
2023-09-01,00:44:16.100,8160,1652.88,1652.91,1652.41,1652.56,103741.18972400001,5160.598000000057,5160.598000000057
2023-09-01,00:44:25.483,8192,1652.56,1652.91,1652.56,1652.91,105492.29911300002,5224.4305000000595,5224.4305000000595
2023-09-01,00:44:43.603,8246,1652.91,1652.91,1652.47,1652.47,104874.26263899998,5287.886500000059,5287.886500000059
2023-09-01,00:45:29.483,8354,1652.44,1652.66,1652.33,1652.66,106248.62229000003,5352.179400000058,5352.179400000058
2023-09-01,00:46:01.997,8473,1652.66,1652.66,1652.18,1652.33,101902.449721,5413.847800000053,5413.847800000053
2023-09-01,00:46:53.631,8547,1652.33,1652.48,1652.33,1652.47,113222.73363199997,5482.3677000000525,5482.3677000000525
2023-09-01,00:47:38.411,8703,1652.47,1653.54,1652.47,1653.54,102570.42096300001,5544.4233000000495,5544.4233000000495
2023-09-01,00:48:59.219,8859,1653.54,1653.54,1652.59,1652.6,109516.96598199994,5610.675000000048,5610.675000000048
2023-09-01,00:50:44.673,9009,1652.6,1652.64,1652.48,1652.64,101522.72266199997,5672.107700000047,5672.107700000047
2023-09-01,00:52:27.815,9191,1652.64,1653.34,1652.64,1652.95,103073.88290000004,5734.457600000044,5734.457600000044
2023-09-01,00:54:06.742,9379,1652.95,1653.05,1652.81,1653.04,100816.00376700003,5795.4490000000515,5795.4490000000515
2023-09-01,00:55:56.109,9485,1653.03,1653.17,1653.03,1653.16,105749.78049500001,5859.41900000005,5859.41900000005
2023-09-01,00:56:33.789,9597,1653.16,1653.17,1652.81,1652.92,101577.07973600003,5920.868400000048,5920.868400000048
2023-09-01,00:56:37.869,9667,1652.92,1653.54,1652.92,1653.54,101631.10922400003,5982.34060000005,5982.34060000005
2023-09-01,00:56:51.035,9788,1653.57,1654.07,1653.57,1654.07,100515.53396300001,6043.119400000045,6043.119400000045
2023-09-01,00:57:06.217,10002,1654.08,1654.52,1654.07,1654.52,101081.642053,6104.219200000025,6104.219200000025
2023-09-01,00:57:17.544,10042,1654.53,1654.53,1654.36,1654.37,100087.33896300005,6164.714100000023,6164.714100000023
2023-09-01,00:57:17.853,10058,1654.37,1654.37,1654.36,1654.36,138725.913618,6248.568500000024,6248.568500000024
2023-09-01,00:57:17.999,10085,1654.36,1654.36,1654.13,1654.13,106940.02793099996,6313.213300000025,6313.213300000025
2023-09-01,00:58:12.878,10210,1654.13,1654.26,1653.6,1653.61,103213.82910399999,6375.6226000000215,6375.6226000000215
2023-09-01,00:58:39.702,10267,1653.61,1653.72,1653.45,1653.45,118054.37777199998,6447.019400000022,6447.019400000022
2023-09-01,00:58:39.702,10283,1653.45,1653.45,1653.45,1653.45,100987.26961499998,6508.0961000000225,6508.0961000000225
2023-09-01,00:58:39.702,10299,1653.45,1653.45,1653.45,1653.45,108527.16695999999,6573.732900000022,6573.732900000022
2023-09-01,00:58:39.882,10318,1653.45,1653.52,1653.45,1653.52,151576.68852099997,6665.403300000023,6665.403300000023
2023-09-01,00:58:39.882,10337,1653.52,1653.52,1653.48,1653.48,118943.085724,6737.337000000023,6737.337000000023
2023-09-01,00:59:02.723,10417,1653.45,1653.45,1653.24,1653.29,100864.09847699999,6798.343800000028,6798.343800000028
2023-09-01,01:00:06.380,10547,1653.28,1653.29,1652.8,1652.8,100005.20907600001,6858.843400000026,6858.843400000026
2023-09-01,01:00:47.049,10640,1652.78,1653.31,1652.77,1653.0,103179.17050900002,6921.263600000028,6921.263600000028
2023-09-01,01:00:47.542,10663,1653.0,1653.0,1652.98,1652.98,126171.27075700002,6997.592800000029,6997.592800000029
2023-09-01,01:01:23.460,10806,1652.98,1652.98,1652.3,1652.48,100777.99087299996,7058.575600000028,7058.575600000028
2023-09-01,01:01:34.228,10880,1652.48,1652.48,1652.14,1652.14,101501.40447600003,7120.004100000029,7120.004100000029
2023-09-01,01:01:47.134,10913,1652.13,1652.13,1651.89,1651.89,109751.83798200001,7186.443800000029,7186.443800000029
2023-09-01,01:01:47.841,10937,1651.89,1651.89,1651.69,1651.81,105560.22321899999,7250.349700000032,7250.349700000032
2023-09-01,01:02:23.720,11065,1651.81,1651.81,1651.45,1651.56,102534.59885999995,7312.43250000003,7312.43250000003
2023-09-01,01:04:06.816,11239,1651.56,1651.89,1651.55,1651.76,104820.41153199997,7375.895500000039,7375.895500000039
2023-09-01,01:06:48.850,11484,1651.84,1652.16,1651.35,1651.51,101293.658206,7437.228700000047,7437.228700000047
2023-09-01,01:07:21.162,11570,1651.52,1651.52,1651.35,1651.35,204898.73505699998,7561.305800000051,7561.305800000051
2023-09-01,01:08:53.649,11743,1651.35,1651.42,1651.1,1651.1,100119.475943,7621.934900000058,7621.934900000058
2023-09-01,01:10:22.900,11925,1651.1,1651.1,1650.71,1650.78,101735.536104,7683.560300000064,7683.560300000064
2023-09-01,01:10:23.037,11931,1650.78,1650.78,1650.78,1650.78,102343.40766,7745.557300000064,7745.557300000064
2023-09-01,01:10:23.041,11938,1650.78,1650.78,1650.78,1650.78,102806.45145,7807.834800000064,7807.834800000064
2023-09-01,01:10:23.046,11945,1650.78,1650.78,1650.78,1650.78,111367.72668600001,7875.298500000064,7875.298500000064
2023-09-01,01:10:23.049,11952,1650.78,1650.78,1650.78,1650.78,103500.27428399998,7937.996300000064,7937.996300000064
2023-09-01,01:12:10.561,12155,1650.79,1651.58,1650.79,1651.58,100654.56063099991,7998.9508000000715,7998.9508000000715
2023-09-01,01:12:32.166,12281,1651.58,1652.41,1651.58,1652.41,100055.23968200001,8059.511300000081,8059.511300000081
2023-09-01,01:12:53.543,12335,1652.41,1652.41,1652.33,1652.33,105993.10654500002,8123.657400000081,8123.657400000081
2023-09-01,01:12:53.543,12349,1652.33,1652.33,1652.26,1652.26,107107.11568199999,8188.480000000081,8188.480000000081
2023-09-01,01:12:53.543,12381,1652.25,1652.25,1651.99,1651.99,103942.21008900001,8251.394000000086,8251.394000000086
2023-09-01,01:12:53.543,12406,1651.98,1651.98,1651.81,1651.81,106175.293452,8315.668800000089,8315.668800000089
2023-09-01,01:12:53.543,12416,1651.81,1651.81,1651.74,1651.74,123599.853564,8390.498000000089,8390.498000000089
2023-09-01,01:12:53.543,12424,1651.73,1651.73,1651.7,1651.7,127197.94604400001,8467.508300000087,8467.508300000087
2023-09-01,01:13:08.540,12482,1651.7,1651.86,1651.69,1651.75,108402.85028299993,8533.13900000009,8533.13900000009
2023-09-01,01:13:09.282,12537,1651.75,1652.14,1651.75,1652.14,104988.815886,8596.697600000083,8596.697600000083
2023-09-01,01:15:11.614,12772,1652.15,1652.29,1651.34,1651.34,100811.07322199999,8657.724900000094,8657.724900000094
2023-09-01,01:15:16.580,12815,1651.33,1651.33,1651.09,1651.09,100826.405928,8718.786300000094,8718.786300000094
2023-09-01,01:15:21.339,12839,1651.08,1651.08,1651.0,1651.0,103922.39559,8781.730600000094,8781.730600000094
2023-09-01,01:15:34.332,12851,1651.0,1651.0,1650.99,1650.99,101807.83898000001,8843.395000000097,8843.395000000097
2023-09-01,01:15:36.442,12872,1650.99,1650.99,1650.98,1650.98,100684.44441700002,8904.3793000001,8904.3793000001
2023-09-01,01:15:48.573,12931,1650.97,1650.97,1650.82,1650.94,101722.83220800002,8965.994700000103,8965.994700000103
2023-09-01,01:15:48.573,12949,1650.94,1650.94,1650.93,1650.93,111097.88433000003,9033.288500000102,9033.288500000102
2023-09-01,01:16:22.747,13045,1650.93,1651.28,1650.89,1651.28,100213.37636800001,9093.9890000001,9093.9890000001
2023-09-01,01:17:00.096,13167,1651.28,1651.44,1650.95,1650.96,101398.96330500001,9155.396600000104,9155.396600000104
2023-09-01,01:17:59.997,13259,1650.95,1650.95,1650.71,1650.72,100050.45172999997,9216.0022000001,9216.0022000001
2023-09-01,01:19:36.743,13403,1650.72,1650.82,1650.66,1650.66,101123.88416999996,9277.263000000103,9277.263000000103
2023-09-01,01:20:13.275,13463,1650.66,1650.66,1650.62,1650.63,117270.17196099997,9348.307900000105,9348.307900000105
2023-09-01,01:20:18.748,13503,1650.63,1650.95,1650.63,1650.95,101803.27677700002,9409.98160000011,9409.98160000011
2023-09-01,01:21:04.947,13627,1650.96,1651.19,1650.95,1650.95,101959.757855,9471.734400000112,9471.734400000112
2023-09-01,01:22:42.994,13755,1650.93,1650.93,1650.55,1650.55,100056.86741100001,9532.347100000105,9532.347100000105
2023-09-01,01:23:28.806,13868,1650.55,1650.79,1650.54,1650.79,100455.54075100004,9593.204600000114,9593.204600000114
2023-09-01,01:24:39.766,14011,1650.79,1650.8,1650.57,1650.57,132713.58059599996,9673.604700000113,9673.604700000113
2023-09-01,01:24:39.766,14061,1650.56,1650.56,1650.28,1650.28,103646.49412400002,9736.40510000011,9736.40510000011
2023-09-01,01:24:39.766,14096,1650.28,1650.28,1650.08,1650.08,100842.12097999999,9797.514500000114,9797.514500000114
2023-09-01,01:24:39.766,14098,1650.07,1650.07,1650.07,1650.07,112228.35600100001,9865.528800000113,9865.528800000113
2023-09-01,01:24:49.413,14150,1650.06,1650.35,1650.06,1650.35,102627.16301100003,9927.722300000116,9927.722300000116
2023-09-01,01:25:14.539,14252,1650.35,1650.67,1650.35,1650.67,102072.72542999998,9989.564400000118,9989.564400000118
2023-09-01,01:25:38.643,14315,1650.67,1651.04,1650.67,1651.04,109336.572356,10055.793100000112,10055.793100000112
2023-09-01,01:25:44.886,14377,1651.04,1651.38,1651.04,1651.38,103106.93069800004,10118.236200000116,10118.236200000116
2023-09-01,01:25:59.999,14452,1651.38,1651.46,1651.04,1651.04,103678.10312700001,10181.017900000117,10181.017900000117
2023-09-01,01:26:00.788,14494,1651.04,1651.05,1650.79,1650.79,100637.016101,10241.975700000121,10241.975700000121
2023-09-01,01:26:04.721,14551,1650.76,1650.76,1650.42,1650.43,100159.89779799999,10302.655300000126,10302.655300000126
2023-09-01,01:26:27.439,14602,1650.43,1650.43,1650.1,1650.1,101770.03027499998,10364.320900000132,10364.320900000132
2023-09-01,01:26:27.442,14702,1650.1,1650.1,1649.54,1649.54,122548.04813199998,10438.601500000137,10438.601500000137
2023-09-01,01:26:52.962,14750,1649.54,1649.67,1649.54,1649.67,112765.750562,10506.959800000144,10506.959800000144
2023-09-01,01:27:40.728,14838,1649.68,1649.89,1649.68,1649.89,100028.791298,10567.588600000143,10567.588600000143
2023-09-01,01:28:22.368,14946,1649.89,1650.08,1649.88,1650.07,100077.579569,10628.241300000132,10628.241300000132
2023-09-01,01:28:22.434,14996,1650.07,1650.3,1650.07,1650.3,103187.421425,10690.775200000136,10690.775200000136
2023-09-01,01:28:41.090,15094,1650.29,1650.91,1650.29,1650.91,108107.73173199993,10756.27280000014,10756.27280000014
2023-09-01,01:30:39.012,15295,1650.96,1651.36,1650.96,1651.36,101572.85107100004,10817.787700000134,10817.787700000134
2023-09-01,01:30:50.178,15317,1651.35,1651.36,1651.26,1651.26,102623.62185499999,10879.935600000137,10879.935600000137
