date,time,cum_ticks,open,high,low,close,volume,cum_buy_volume,cum_dollar_value
2023-03-01,17:11:38.099,2350,804.25,806.0,803.0,804.75,10070,10070,8099355.75
2023-03-01,18:05:18.774,4659,804.5,806.0,803.5,805.25,10009,20079,16156323.5
2023-03-01,19:48:22.052,7654,805.25,806.75,803.75,806.5,10001,30080,24209644.5
2023-03-01,21:03:38.032,10427,806.5,807.5,805.75,806.0,10007,40087,32279590.5
2023-03-02,00:10:32.116,13991,806.0,808.0,804.25,806.5,10001,50088,40341693.25
2023-03-02,01:46:00.769,17723,806.5,808.5,806.0,807.25,10001,60089,48415512.0
2023-03-02,02:15:05.149,21270,807.25,808.5,806.25,808.25,10001,70090,56493467.5
2023-03-02,02:37:22.219,24470,808.25,810.0,807.75,809.75,10000,80090,64580889.75
2023-03-02,03:17:51.945,28409,809.75,810.0,807.75,808.5,10000,90090,72670255.5
2023-03-02,03:52:15.567,31854,808.5,811.25,808.25,811.0,10015,100105,80784691.25
2023-03-02,04:45:46.173,35340,811.0,811.25,809.25,809.5,10029,110134,88908800.0
2023-03-02,05:52:38.948,38375,809.5,811.0,809.25,810.75,10005,120139,97015819.0
2023-03-02,06:40:19.881,40884,810.75,812.0,810.25,812.0,10051,130190,105168951.0
2023-03-02,07:05:00.272,43494,812.0,812.5,810.0,811.75,10000,140190,113283519.5
2023-03-02,07:55:19.521,45569,811.75,812.25,810.75,811.0,10001,150191,121400351.5
2023-03-02,08:37:58.123,48234,811.0,811.25,809.25,809.5,10001,160192,129506703.75
2023-03-02,09:34:32.907,51291,809.5,811.0,809.25,811.0,10001,170193,137607878.0
2023-03-02,10:08:37.557,53719,811.0,812.25,810.75,811.75,10169,180362,145860920.75
2023-03-02,17:02:54.246,56370,811.75,812.5,810.5,812.5,10049,190411,154015428.75
2023-03-02,19:39:44.867,60156,812.5,812.5,809.25,810.75,10000,200411,162120675.5
2023-03-02,22:35:01.913,63680,810.75,812.0,810.0,812.0,10000,210411,170229316.0
2023-03-02,23:56:23.542,66253,812.0,812.25,810.25,810.25,10002,220413,178347573.0
2023-03-03,01:46:49.025,69489,810.25,813.0,810.25,812.5,10003,230416,186473055.0
2023-03-03,02:15:16.274,73112,812.5,812.75,810.25,811.5,10014,240430,194599067.25
2023-03-03,02:34:38.719,76756,811.5,812.5,810.5,811.5,10000,250430,202712582.0
2023-03-03,03:08:34.007,80504,811.5,812.5,811.0,812.25,10000,260430,210830798.0
2023-03-03,03:43:27.963,84364,812.25,812.5,810.5,811.0,10002,270432,218945768.5
2023-03-03,03:54:05.880,87447,811.0,811.5,808.0,808.0,10097,280529,227122564.75
2023-03-03,03:55:43.426,90173,808.0,808.25,806.5,807.5,10001,290530,235195240.5
2023-03-03,03:58:51.602,93154,807.25,808.5,806.75,807.0,10002,300532,243272298.25
2023-03-03,04:03:06.492,96141,807.0,807.75,806.25,807.75,10000,310532,251341785.25
2023-03-03,04:06:28.752,99449,807.75,810.75,807.75,809.0,10001,320533,259434270.75
2023-03-03,04:14:35.363,102836,809.0,809.75,806.25,807.0,10000,330533,267513365.25
2023-03-03,04:27:16.911,106465,807.0,809.25,806.25,809.0,10000,340533,275592359.0
2023-03-03,04:59:42.690,110102,809.0,809.5,806.75,807.25,10015,350548,283686513.0
2023-03-03,05:35:01.898,113751,807.25,811.0,807.0,810.75,10019,360567,291795555.75
2023-03-03,06:19:02.542,117060,810.75,811.0,809.0,809.25,10004,370571,299898590.25
2023-03-03,06:32:56.811,120680,809.25,811.0,806.5,807.75,10000,380571,307984670.0
2023-03-03,06:55:25.142,124364,807.75,809.25,807.25,808.75,10000,390571,316066536.0
2023-03-03,07:16:05.137,127605,808.75,809.5,807.5,808.75,10000,400571,324151774.0
2023-03-03,07:36:45.695,130884,808.75,810.0,807.75,809.5,10001,410572,332240394.25
2023-03-03,07:56:19.360,133969,809.5,810.75,809.5,810.5,10001,420573,340342786.25
2023-03-03,08:11:35.609,136923,810.5,811.0,809.5,810.75,10001,430574,348446257.0
2023-03-03,08:26:57.075,140697,810.75,811.0,809.5,810.25,10003,440577,356548654.0
2023-03-03,08:30:00.782,143365,810.25,811.0,809.75,810.75,10001,450578,364653363.0
2023-03-03,08:30:23.885,145317,810.75,811.5,810.25,811.5,10001,460579,372761954.25
2023-03-03,08:31:07.256,147468,811.5,812.0,811.25,812.0,10013,470592,380889440.0
2023-03-03,08:31:26.779,149621,812.0,813.0,812.0,813.0,10004,480596,389017687.5
2023-03-03,08:31:44.905,151500,813.0,813.25,812.0,812.5,10041,490637,397176506.75
2023-03-03,08:32:17.619,153297,812.5,812.75,811.5,812.0,10003,500640,405299453.75
2023-03-03,08:33:05.939,155439,812.0,813.0,812.0,812.75,10066,510706,413478124.5
2023-03-03,08:34:00.541,157619,812.75,813.25,812.25,813.25,10018,520724,421620083.0
2023-03-03,08:34:29.546,159517,813.25,813.5,812.0,812.0,10008,530732,429756045.75
2023-03-03,08:35:14.529,161706,812.0,813.25,811.75,813.25,10003,540735,437882072.0
2023-03-03,08:36:05.911,163608,813.25,814.0,813.0,813.5,10002,550737,446019271.25
2023-03-03,08:36:51.512,165768,813.5,813.75,812.5,812.75,10017,560754,454164521.0
2023-03-03,08:38:19.723,168252,812.75,813.5,812.5,812.75,10001,570755,462295046.5
2023-03-03,08:39:55.503,170799,812.75,813.0,812.25,812.5,10043,580798,470456095.25
2023-03-03,08:40:56.542,172963,812.5,813.75,812.25,812.5,10001,590799,478588427.75
2023-03-03,08:42:31.507,175842,812.5,812.75,811.75,811.75,10005,600804,486714099.0
2023-03-03,08:43:51.805,178546,811.75,812.5,811.5,811.75,10010,610814,494841242.25
2023-03-03,08:45:35.953,181141,811.75,812.5,811.25,812.0,10008,620822,502965666.5
2023-03-03,08:47:35.477,183922,812.0,812.0,811.25,811.75,10000,630822,511081880.75
2023-03-03,08:49:13.449,186546,811.75,812.0,810.75,811.0,10001,640823,519195976.75
2023-03-03,08:51:37.619,189597,811.0,812.0,811.0,811.25,10000,650823,527309765.75
2023-03-03,08:54:07.179,192542,811.25,811.75,810.75,811.0,10100,660923,535502407.0
2023-03-03,08:55:36.042,194945,811.0,811.25,810.25,811.25,10001,670924,543608652.0
2023-03-03,08:59:32.426,198196,811.25,812.0,809.75,811.0,10000,680924,551718101.0
2023-03-03,09:00:52.423,200822,810.75,811.75,810.25,810.5,10001,690925,559830262.25
2023-03-03,09:01:35.860,203234,810.5,810.5,809.25,809.5,10001,700926,567928682.25
2023-03-03,09:02:21.941,205581,809.5,809.75,808.25,809.0,10057,710983,576064265.5
2023-03-03,09:03:53.455,208922,809.0,810.75,809.0,810.75,10007,720990,584166493.25
2023-03-03,09:05:47.995,212169,810.75,811.25,810.0,810.0,10001,730991,592272907.25
2023-03-03,09:06:48.998,215001,810.0,811.5,809.5,810.75,10020,741011,600395958.5
2023-03-03,09:09:14.319,218482,810.75,811.0,809.5,809.75,10009,751020,608506533.0
2023-03-03,09:10:32.401,221415,809.75,812.0,809.75,811.75,10000,761020,616615992.0
2023-03-03,09:11:53.122,224035,811.75,812.0,811.0,811.75,10010,771030,624739986.25
2023-03-03,09:13:30.465,226954,811.75,812.75,811.5,812.5,10000,781030,632861539.0
2023-03-03,09:15:42.301,229650,812.25,812.5,811.0,811.25,10007,791037,640983471.75
2023-03-03,09:17:18.056,232371,811.25,811.25,809.5,809.75,10001,801038,649087488.25
2023-03-03,09:19:20.824,235185,809.75,810.25,809.0,809.25,10040,811078,657216035.5
2023-03-03,09:21:15.841,237991,809.25,809.75,808.0,808.5,10002,821080,665306624.5
